disno,dyindex,statea,namea,stateb,nameb,year,strtday,strtmnth,strtyr,endday,endmnth,endyear,outcome,settlmnt,fatlev,highact,hihost,recip,noinit,notarg,sideaa,revstata,revtypea,fatleva,highmcaa,hihosta,orignata,sideab,revstatb,revtypeb,fatlevb,highmcab,hihostb,orignatb,rolea,roleb,dyad_rolea,dyad_roleb,war,durindx,duration,cumdurat,mid5hiact,mid5hiacta,mid5hiactb,severity,severitya,severityb,ongo2014,new,change,changetype_1,changetype_2
3386,3386.0009765625,651,EGY,666,ISR,1950,23,12,1949,7,1,1950,5,1,0,18,4,1,1,1,1,1,1,-9,18,4,1,0,0,0,-9,18,4,1,1,3,1,3,0,2,8,17,17,17,17,75,75,75,0,0,0,0,0
3386,3386.0009765625,666,ISR,651,EGY,1949,23,12,1949,7,1,1950,0,0,0,18,4,1,1,1,0,0,0,0,18,4,1,1,1,1,0,18,4,1,3,1,3,1,0,1,9,9,17,17,17,75,75,75,0,0,0,0,0
3386,3386.0009765625,666,ISR,651,EGY,1950,23,12,1949,7,1,1950,5,1,0,18,4,1,1,1,0,0,0,-9,18,4,1,1,1,1,-9,18,4,1,3,1,3,1,0,2,8,17,17,17,17,75,75,75,0,0,0,0,0
3387,3387.0009765625,651,EGY,666,ISR,1970,8,8,1970,17,10,1971,0,0,0,19,4,0,1,1,1,1,1,0,19,4,1,0,0,0,0,7,3,1,1,3,1,3,0,1,146,146,16,16,7,65,65,49,0,0,0,0,0
3387,3387.0009765625,651,EGY,666,ISR,1971,8,8,1970,17,10,1971,5,3,0,19,4,0,1,1,1,1,1,-9,19,4,1,0,0,0,0,7,3,1,1,3,1,3,0,2,291,437,16,16,7,65,65,49,0,0,0,0,0
3387,3387.0009765625,666,ISR,651,EGY,1970,8,8,1970,17,10,1971,0,0,0,19,4,0,1,1,0,0,0,0,7,3,1,1,1,1,0,19,4,1,3,1,3,1,0,1,146,146,16,7,16,65,49,65,0,0,0,0,0
3387,3387.0009765625,666,ISR,651,EGY,1971,8,8,1970,17,10,1971,5,3,0,19,4,0,1,1,0,0,0,0,7,3,1,1,1,1,-9,19,4,1,3,1,3,1,0,2,291,437,16,7,16,65,49,65,0,0,0,0,0
3400,3400.0009765625,652,SYR,666,ISR,1950,12,7,1950,12,7,1950,4,3,0,17,4,0,1,1,1,1,1,0,17,4,1,0,0,0,0,0,1,1,1,3,1,3,0,1,1,1,15,15,0,81,81,49,0,0,0,0,0
3400,3400.0009765625,666,ISR,652,SYR,1950,12,7,1950,12,7,1950,3,3,0,17,4,0,1,1,0,0,0,0,0,1,1,1,1,1,0,17,4,1,3,1,3,1,0,1,1,1,15,0,15,81,0,81,0,0,0,0,0
3401,3401.0009765625,652,SYR,666,ISR,1951,28,12,1951,28,12,1951,5,3,0,19,4,0,1,1,1,1,1,0,19,4,1,0,0,0,0,14,3,1,1,3,1,3,0,1,1,1,16,16,12,65,65,65,0,0,0,0,0
3401,3401.0009765625,666,ISR,652,SYR,1951,28,12,1951,28,12,1951,5,3,0,19,4,0,1,1,0,0,0,0,14,3,1,1,1,1,0,19,4,1,3,1,3,1,0,1,1,1,16,12,16,65,65,65,0,0,0,0,0
